id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4720978209276547,L8NJOCVfJ,5432670452,喜悦HUI,#渡渡鸟上海站##移动的村庄#新年第一天两场村庄开启，上午浦东世纪公园，下午浦东滨江十公里。每一次村庄，都有许多丰富而多元的体验。,,,,"渡渡鸟上海站,移动的村庄",0,0,3,2022-01-01 23:52,iPhone客户端,"['https://wx3.sinaimg.cn/large/005VEVKYly1gxylyjqbz5j322n340npe.jpg', 'https://wx4.sinaimg.cn/large/005VEVKYly1gxylymxwghj322n340kjl.jpg', 'https://wx4.sinaimg.cn/large/005VEVKYly1gxylyq57wlj322n340hdu.jpg', 'https://wx2.sinaimg.cn/large/005VEVKYly1gxylyt6p3vj3341341b2b.jpg', 'https://wx2.sinaimg.cn/large/005VEVKYly1gxylyvl4qyj322o341x6p.jpg', 'https://wx1.sinaimg.cn/large/005VEVKYly1gxylywpo5pj322o341u0x.jpg']",,
4720947052937876,L8MVzckh6,6052066545,眼袋青年乔更生,#新年第一天##上海#一人行😈18号线的颜色真好看，温暖纯净。世纪公园活力满满😎朝鲜的服务员小姐姐好看又温柔，爱了爱了新年音乐会曲目安排🉑️！明快热烈大家都很开心🥳现在，跑路回窝！,,,,"新年第一天,上海",0,2,1,2022-01-01 21:49,iPhone客户端,"['https://wx1.sinaimg.cn/large/006BzQYxly1gxyicz5pkkj30u00u0tfi.jpg', 'https://wx2.sinaimg.cn/large/006BzQYxly1gxyiczl86pj30u00u0jwi.jpg', 'https://wx4.sinaimg.cn/large/006BzQYxly1gxyiczidk2j30u00u00vz.jpg', 'https://wx4.sinaimg.cn/large/006BzQYxly1gxyiczumzxj30u00u00y2.jpg', 'https://wx1.sinaimg.cn/large/006BzQYxly1gxyid0827jj30tu0x3wo7.jpg', 'https://wx3.sinaimg.cn/large/006BzQYxly1gxyid01jylj315k0u0166.jpg', 'https://wx3.sinaimg.cn/large/006BzQYxly1gxyid1j9joj31400u0gqt.jpg', 'https://wx1.sinaimg.cn/large/006BzQYxly1gxyid1hcwcj30u00u0wl4.jpg', 'https://wx2.sinaimg.cn/large/006BzQYxly1gxyid1g2dtj31400u07bl.jpg']",,
4720934206573056,L8MAQrzX2,1996154492,孩儿象,今天绕世纪公园跑了一圈新年第一跑,,,,,0,2,44,2022-01-01 20:58,iPhone客户端,"['https://wx4.sinaimg.cn/large/76fae67cly1gxygud65z9j20u0190thc.jpg', 'https://wx4.sinaimg.cn/large/76fae67cly1gxygudiy5oj20u0190gy3.jpg', 'https://wx3.sinaimg.cn/large/76fae67cly1gxygudv5sxj20u0140don.jpg', 'https://wx2.sinaimg.cn/large/76fae67cly1gxyguei8wlj20u013y7eo.jpg', 'https://wx2.sinaimg.cn/large/76fae67cly1gxygucxhe0j20u0140gut.jpg', 'https://wx3.sinaimg.cn/large/76fae67cly1gxyguff0v0j20u0140dnq.jpg', 'https://wx4.sinaimg.cn/large/76fae67cly1gxygufrwipj20u0140n7s.jpg', 'https://wx2.sinaimg.cn/large/76fae67cly1gxygug6qepj20u014012h.jpg', 'https://wx1.sinaimg.cn/large/76fae67cly1gxyguggh2yj20u00yqn2f.jpg']",,
4720932104440135,L8MxsiD55,1858630542,WenjieLivingInMunich,Y22E001:新年第一跑，本来说去世纪公园，结果一看，光单程过去就要3km，回不来了，跑不动，在小区里面绕着跑了一圈。稍微有点小。一直没有体重秤，不知道胖了多少,,,,,0,2,1,2022-01-01 20:49,iPhone客户端,"['https://wx1.sinaimg.cn/large/6ec8738ely1gxygm49ol4j20u01sw7bh.jpg', 'https://wx1.sinaimg.cn/large/6ec8738ely1gxygm16dp1j20u0140dpq.jpg']",,
4720925301282114,L8Mmu5nxg,3106067310,布袋跑者,2022，元旦。世纪公园20公里，新的一年开始了。,,,,,0,0,0,2022-01-01 20:22,iPhone客户端,"['https://wx3.sinaimg.cn/large/b922d36ely1gxyfivd6dsj20yi22okbk.jpg', 'https://wx3.sinaimg.cn/large/b922d36ely1gxyfivvdrnj20u011hgoa.jpg', 'https://wx3.sinaimg.cn/large/b922d36ely1gxyfiw48z7j20u0190gq0.jpg']",,
4720910911932582,L8LZh86KG,1649285615,Sam大shu,生活需要有點儀式感，在2022開始的第一天，出門跑個2022的軌迹，再繞世紀公園晃一圈，用健康的生活方式，來迎接嶄新的一年，期望大家都平安健康，HAPPYNEWYEAR!#跑就對了#健康才是財富,,上海·世纪公园,,,0,0,0,2022-01-01 19:25,HUAWEI P30 Pro,"['https://wx3.sinaimg.cn/large/624e19efgy1gxye8glw96j20u01lgali.jpg', 'https://wx3.sinaimg.cn/large/624e19efgy1gxye8lj2qcj23s051c4qu.jpg', 'https://wx1.sinaimg.cn/large/624e19efgy1gxye8noh1rj22tc240hdu.jpg']",,
4720910911147987,L8LZh4ODV,3784369781,洮小夭_Amy,用一次3KM的绕世纪公园跑步来开启🔛2022。每年去世纪公园跑步已经成为我的跨年仪式了。L洮小夭_Amy的微博视频,,上海·世纪公园,,,0,0,0,2022-01-01 19:25,iPhone客户端,,"http://f.video.weibocdn.com/o0/B02iy591lx07SCN6Fgbu01041200bDMZ0E010.mp4?label=mp4_hd&template=444x960.24.0&trans_finger=d441f0c6ceb662aca7fd910096c855a9&ori=0&ps=1BVp4ysnknHVZu&Expires=1652875701&ssig=XzBd6HmjWz&KID=unistore,video",
4720888395597361,L8LoXnu81,5985464527,识木Helena,#票务#李健音乐会丨海南岛春季国际艺术展开幕心升明月2022-01-03海口世纪公园已出价格录信息入场#李健##李健海边音乐会#,,青岛·青岛海滨,,"票务,李健,李健海边音乐会",0,1,0,2022-01-01 17:56,荣耀50 5G,['https://wx2.sinaimg.cn/large/006x4oKrly1gxybnl5ssgj30u0160wmf.jpg'],,
4720878769935602,L8L9qFGHE,1880076995,暗香_莹袖,随着18号线北段的开通，世纪公园2号门也启用了，出了地铁就到感谢申通地铁感谢相关从业人员感谢所有的一切,,,,,0,0,0,2022-01-01 17:17,iPhone客户端,"['https://wx4.sinaimg.cn/large/700fb2c3ly1gxy7j5mlpnj21400u0dwr.jpg', 'https://wx4.sinaimg.cn/large/700fb2c3ly1gxy7j7q5csj21400u07a4.jpg']",,
4720878661143743,L8L9g4Nxt,1738085072,YMS2008,18号线，14号线通车了，喜事。正是一元复始，万象更新。上午与家人去尝鲜，18号线从杨高中路坐到迎春路，发现世纪公园的2号门也开放了，公园距家1.5公里也终于实至名归。只是算上马路、进出地铁所走的距离，20分钟时间与步行没实质的区别，若仅出于交通的考量，我更倾向于步行或共享单车。晚上，再到昌邑路看看，看看出地铁还要走多远能到江边。来上海三年多，民生路这里多处路段始终处于封闭状态，现在围挡拆干净了，一眼望去畅通无阻，感觉心也跟着敞亮多了。,,,,,0,0,0,2022-01-01 17:17,iPhone客户端,"['https://wx3.sinaimg.cn/large/679912d0ly1gxyabc6acjj22c0340e84.jpg', 'https://wx1.sinaimg.cn/large/679912d0ly1gxyabds2n2j22c0340e83.jpg', 'https://wx2.sinaimg.cn/large/679912d0ly1gxyab2xk0ij22c0340x6q.jpg', 'https://wx2.sinaimg.cn/large/679912d0ly1gxyab4d6puj22c0340hdu.jpg', 'https://wx2.sinaimg.cn/large/679912d0ly1gxyab598utj22c0340npe.jpg', 'https://wx1.sinaimg.cn/large/679912d0ly1gxyab1blmdj22c03404qu.jpg', 'https://wx4.sinaimg.cn/large/679912d0ly1gxyab6z55fj22c0340x6t.jpg', 'https://wx4.sinaimg.cn/large/679912d0ly1gxyabb11wcj22c0340e87.jpg', 'https://wx1.sinaimg.cn/large/679912d0ly1gxyab8ujg9j20yi22okjm.jpg']",,
